1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
318	-1.135103	145.954248	14.600832	0.015133	3.9
319	-1.090525	146.954248	14.513898	0.005331	3.6
320	-1.099840	146.864305	14.521675	0.008113	4.0
321	-1.119590	146.774362	14.529460	0.008770	3.3
322	-1.081855	146.684419	14.537253	0.008409	3.2
323	-1.125494	147.684419	14.451073	0.007058	3.6
324	-1.114373	147.594476	14.458783	0.008653	3.5
325	-1.089555	148.594442	14.373530	0.006818	3.2
326	-1.105001	149.592156	14.289466	0.009750	3.9
327	-1.092789	150.592132	14.206193	0.008304	4.2
328	-1.152529	150.502189	14.213643	0.006442	3.9
329	-1.106529	150.412373	14.221091	0.006197	2.9
330	-1.114760	150.328055	14.228089	0.006362	2.8
331	-1.134221	150.238125	14.235562	0.007100	3.0
332	-1.113406	150.199457	14.238777	0.005899	3.6
333	-1.109957	151.198547	14.156164	0.013398	3.8
334	-1.125960	151.108604	14.163562	0.009317	3.1
335	-1.070074	152.108604	14.081743	0.006657	2.8
336	-1.121716	152.368575	14.060627	0.007859	3.0
337	-1.104121	153.359414	13.980724	0.008065	3.4
338	-1.144178	154.359414	13.900998	0.005670	3.9
339	-1.102989	154.270247	13.908070	0.007209	3.1
340	-1.068211	155.269648	13.829215	0.004778	3.0
341	-1.137811	155.179715	13.836274	0.005137	2.8
342	-1.109588	155.091513	13.843205	0.005485	2.8
343	-1.142025	155.001799	13.850261	0.008276	3.0
344	-1.109330	154.932233	13.855738	0.012028	3.4
345	-1.122338	155.932233	13.777427	0.007919	3.1
346	-1.092826	156.932233	13.699996	0.006994	3.0
347	-1.128812	156.842290	13.706925	0.006369	3.3
348	-1.137036	156.767414	13.712698	0.008243	3.3
349	-1.093504	157.767392	13.635993	0.006795	3.4
350	-1.160025	157.677449	13.642857	0.009330	3.8
351	-1.133618	158.677449	13.566927	0.004967	3.8
352	-1.115186	159.677449	13.491838	0.008915	3.0
353	-1.115711	160.579063	13.424846	0.005697	2.8
354	-1.073331	160.489122	13.431499	0.007815	2.7
355	-1.077384	161.485899	13.358133	0.009100	2.8
356	-1.086648	161.395956	13.364720	0.007417	3.8
357	-1.134989	161.306013	13.371314	0.005505	3.4
358	-1.116447	162.000736	13.320552	0.009693	3.2
359	-1.117950	162.998257	13.248337	0.009054	3.2
360	-1.080504	163.998256	13.176724	0.007578	3.3
361	-1.100618	163.908427	13.183125	0.006999	3.2
362	-1.105663	163.818624	13.189531	0.009812	3.1
363	-1.144729	164.818539	13.118556	0.005932	3.5
364	-1.126647	165.818523	13.048336	0.005204	3.1
365	-1.140006	166.818519	12.978863	0.011428	2.9
366	-1.139616	166.728777	12.985068	0.010291	2.9
367	-1.132888	167.728777	12.916265	0.009872	2.9
368	-1.127036	167.638834	12.922423	0.008107	3.7
369	-1.106186	167.548891	12.928588	0.007909	3.5
370	-1.094371	168.476383	12.865302	0.007609	3.1
371	-1.133525	169.476383	12.797759	0.006399	3.3
372	-1.125663	169.386442	12.803805	0.011097	3.2
373	-1.104784	169.296614	12.809849	0.007461	3.0
374	-1.103243	170.296614	12.742886	0.010210	2.8
375	-1.107007	170.206671	12.748880	0.007911	2.8
376	-1.131647	170.130692	12.753948	0.008562	2.8
377	-1.089094	171.129070	12.687673	0.004602	3.3
378	-1.151833	172.012610	12.629594	0.005843	3.2
379	-1.141476	171.966254	12.632628	0.009921	3.2
380	-1.084521	171.876311	12.638519	0.006021	3.6
381	-1.094465	172.876091	12.573344	0.011711	3.4
382	-1.105795	172.786148	12.579180	0.011560	3.0
383	-1.096140	172.696205	12.585021	0.009073	2.8
384	-1.109098	173.695390	12.520435	0.007995	2.8
385	-1.090939	173.605447	12.526221	0.007147	2.7
386	-1.089819	173.515590	12.532008	0.006545	3.0
387	-1.106231	174.515590	12.467911	0.007163	3.3
388	-1.075062	175.351536	12.414830	0.006523	3.1
389	-1.117675	176.351536	12.351923	0.010173	3.1
390	-1.121829	177.351460	12.289654	0.008054	3.4
391	-1.107692	177.306587	12.292435	0.006968	3.4
392	-1.106375	177.216644	12.298013	0.007766	3.1
393	-1.122410	178.216639	12.236282	0.009007	2.9
394	-1.100100	178.126696	12.241808	0.006032	2.9
395	-1.137704	179.123624	12.180825	0.006708	2.9
396	-1.130678	179.532251	12.156004	0.006116	3.4
397	-1.168346	180.238759	12.113327	0.007342	3.4
398	-1.088463	181.197009	12.055920	0.010799	3.0
399	-1.115932	182.173376	11.997984	0.010800	3.6
400	-1.137178	183.173376	11.939220	0.006377	3.1
401	-1.150336	184.173376	11.881029	0.010296	3.0
402	-1.150937	184.085173	11.886139	0.005506	3.4
403	-1.117552	183.995230	11.891354	0.008651	3.3
404	-1.086215	183.905287	11.896574	0.011181	3.1
405	-1.198956	184.905287	11.838797	0.009302	2.9
406	-1.106659	184.815344	11.843971	0.007348	2.9
407	-1.090131	184.725401	11.849149	0.010258	2.9
408	-1.130901	185.716755	11.792324	0.007158	3.3
409	-1.135142	186.709323	11.735972	0.005747	3.5
410	-1.100578	186.637731	11.740019	0.009233	3.0
411	-1.150404	187.596586	11.686054	0.009492	3.2
412	-1.095386	188.596586	11.630299	0.007201	3.4
413	-1.083718	188.506749	11.635286	0.009199	3.1
414	-1.089852	188.416807	11.640283	0.005983	3.0
415	-1.128995	188.327378	11.645256	0.005543	2.8
416	-1.221409	188.237435	11.650262	0.006973	2.8
417	-1.115846	189.237199	11.594860	0.009408	3.0
418	-1.098420	190.237179	11.539971	0.010543	3.4
419	-1.113188	190.147236	11.544887	0.008158	3.0
420	-1.141225	191.147236	11.490467	0.010514	3.3
421	-1.122326	191.057293	11.495341	0.005257	3.4
422	-1.159384	191.543499	11.469045	0.007370	3.1
423	-1.117930	191.564167	11.467930	0.008985	3.1
424	-1.127610	192.466109	11.419475	0.009723	2.9
425	-1.101565	193.466085	11.366230	0.011595	2.9
426	-1.151098	193.376142	11.370999	0.008742	2.9
427	-1.120237	193.286199	11.375772	0.011759	3.2
428	-1.104409	194.283308	11.323084	0.007284	3.3
429	-1.122771	195.283308	11.270731	0.005896	3.1
430	-1.135450	195.247454	11.272599	0.005909	3.1
431	-1.143646	196.247452	11.220711	0.012712	2.8
432	-1.131819	196.161132	11.225171	0.009565	2.8
433	-1.118499	197.161132	11.173718	0.009746	3.1
434	-1.127097	197.071189	11.178326	0.006666	3.6
435	-1.133039	198.071172	11.127301	0.012689	3.4
436	-1.101390	199.071172	11.076739	0.011464	3.1
437	-1.131390	200.071161	11.026634	0.004628	3.0
438	-1.141419	200.001378	11.030116	0.008558	2.9
439	-1.129015	199.921390	11.034110	0.007339	3.0
440	-1.108547	199.832142	11.038569	0.009937	3.5
441	-1.103300	200.832142	10.988808	0.005630	3.2
442	-1.119848	201.828642	10.939666	0.006413	3.0
443	-1.123836	202.634837	10.900229	0.004580	3.5
444	-1.121913	202.547444	10.904490	0.006050	3.0
445	-1.149041	203.387365	10.863673	0.007655	3.0
446	-1.123530	204.387363	10.815473	0.007671	2.8
447	-1.131534	204.754201	10.797898	0.013340	2.8
448	-1.136727	204.664258	10.802202	0.006672	2.8
449	-1.097143	205.664258	10.754545	0.006278	3.3
450	-1.137054	205.574315	10.758814	0.006560	3.4
451	-1.137619	205.484399	10.763085	0.005815	3.1
452	-1.100095	205.420965	10.766101	0.005101	3.6
453	-1.101783	206.119305	10.732997	0.006523	3.2
454	-1.099365	207.119293	10.685948	0.007352	3.0
455	-1.144129	207.039027	10.689709	0.009593	3.1
456	-1.097943	206.949084	10.693927	0.005441	2.9
457	-1.084011	206.859143	10.698148	0.008544	2.8
458	-1.152865	206.769493	10.702359	0.006900	3.0
459	-1.107845	207.769489	10.655577	0.007103	3.7
460	-1.124777	208.769483	10.609202	0.007250	3.3
461	-1.149842	208.679645	10.613352	0.006186	3.2
462	-1.064048	208.589720	10.617509	0.005658	3.4
463	-1.093286	208.499960	10.621661	0.006113	3.2
464	-1.158995	208.439001	10.624484	0.006778	3.1
465	-1.127451	209.437695	10.578438	0.007242	2.8
466	-1.100273	209.353105	10.582323	0.007574	2.8
467	-1.094136	209.263162	10.586456	0.008332	2.8
468	-1.085619	210.263162	10.540680	0.007245	3.6
469	-1.136404	210.173219	10.544781	0.008200	3.4
470	-1.127049	210.083276	10.548885	0.005840	3.4
471	-1.143133	211.083055	10.503442	0.005906	3.6
472	-1.070875	210.993294	10.507506	0.006337	4.0
473	-1.142179	211.177691	10.499161	0.007566	3.4
474	-1.147868	212.174722	10.454267	0.005991	3.1
