[[-4.52449799e+01 -2.39091869e-02]
 [ 4.35629654e+01  5.25671653e-02]
 [ 4.37345085e+01  5.55252992e-02]
 [ 4.39037743e+01  5.84986247e-02]
 [ 4.40707893e+01  6.14912473e-02]
 [ 4.42355766e+01  6.45072609e-02]
 [ 4.43981590e+01  6.75507635e-02]
 [ 4.45585632e+01  7.06258565e-02]
 [ 4.47168159e+01  7.37366304e-02]
 [ 4.48729362e+01  7.68871829e-02]
 [ 4.50269470e+01  8.00816193e-02]] [[-4.53382187e+01 -1.83276813e-02]
 [-4.51593666e+01 -1.18526258e-02]
 [-4.49791183e+01 -5.39180776e-03]
 [-4.47974358e+01  1.04199862e-03]
 [-4.46142693e+01  7.43601844e-03]
 [-4.44295731e+01  1.37774777e-02]
 [-4.42433014e+01  2.00536009e-02]
 [-4.40554008e+01  2.62516122e-02]
 [-4.38658333e+01  3.23587395e-02]
 [-4.36745491e+01  3.83622050e-02]
 [-4.34815025e+01  4.42492366e-02]
 [-4.32866440e+01  5.00070602e-02]
 [-4.30899277e+01  5.56228943e-02]
 [-4.28913078e+01  6.10839762e-02]
 [-4.26907387e+01  6.63775206e-02]
 [-4.24881744e+01  7.14907572e-02]
 [-4.22835655e+01  7.64109120e-02]
 [-4.20768661e+01  8.11251998e-02]
 [-4.18680305e+01  8.56208652e-02]
 [-4.16570129e+01  8.98851231e-02]
 [-4.14437675e+01  9.39051956e-02]
 [-4.12282524e+01  9.76707861e-02]
 [-4.10104866e+01  1.01181492e-01]
 [-4.07904816e+01  1.04439393e-01]
 [-4.05682640e+01  1.07446566e-01]
 [-4.03438530e+01  1.10205084e-01]
 [-4.01172714e+01  1.12717018e-01]
 [-3.98885345e+01  1.14984453e-01]
 [-3.96576691e+01  1.17009453e-01]
 [-3.94246902e+01  1.18794098e-01]
 [-3.91896210e+01  1.20340466e-01]
 [-3.89524841e+01  1.21650636e-01]
 [-3.87132988e+01  1.22726671e-01]
 [-3.84720840e+01  1.23570651e-01]
 [-3.82288628e+01  1.24184661e-01]
 [-3.79836540e+01  1.24570765e-01]
 [-3.77364807e+01  1.24731041e-01]
 [-3.74873619e+01  1.24667563e-01]
 [-3.72363167e+01  1.24382414e-01]
 [-3.69833679e+01  1.23877659e-01]
 [-3.67285385e+01  1.23155378e-01]
 [-3.64718437e+01  1.22217655e-01]
 [-3.62133102e+01  1.21066548e-01]
 [-3.59529533e+01  1.19704142e-01]
 [-3.56907959e+01  1.18132517e-01]
 [-3.54268570e+01  1.16353735e-01]
 [-3.51611633e+01  1.14369892e-01]
 [-3.48937302e+01  1.12183042e-01]
 [-3.46245766e+01  1.09795265e-01]
 [-3.43537254e+01  1.07208647e-01]
 [-3.40812035e+01  1.04425251e-01]
 [-3.38070221e+01  1.01447165e-01]
 [-3.35312042e+01  9.82764512e-02]
 [-3.32537804e+01  9.49173495e-02]
 [-3.29748039e+01  9.13827270e-02]
 [-3.26943359e+01  8.76876041e-02]
 [-3.24124336e+01  8.38470086e-02]
 [-3.21291656e+01  7.98759609e-02]
 [-3.18445854e+01  7.57894889e-02]
 [-3.15587597e+01  7.16026202e-02]
 [-3.12717457e+01  6.73303679e-02]
 [-3.09836063e+01  6.29877597e-02]
 [-3.06944027e+01  5.85898198e-02]
 [-3.04041958e+01  5.41515797e-02]
 [-3.01130447e+01  4.96880524e-02]
 [-2.98210144e+01  4.52142693e-02]
 [-2.95281639e+01  4.07452546e-02]
 [-2.92345524e+01  3.62960286e-02]
 [-2.89402447e+01  3.18816155e-02]
 [-2.86452999e+01  2.75170412e-02]
 [-2.83497772e+01  2.32173298e-02]
 [-2.80537415e+01  1.89975034e-02]
 [-2.77572517e+01  1.48725891e-02]
 [-2.74603691e+01  1.08576082e-02]
 [-2.71631546e+01  6.96758647e-03]
 [-2.68656712e+01  3.21754720e-03]
 [-2.65679760e+01 -3.77485616e-04]
 [-2.62701340e+01 -3.80248763e-03]
 [-2.59722042e+01 -7.04243500e-03]
 [-2.56742477e+01 -1.00823035e-02]
 [-2.53763256e+01 -1.29070692e-02]
 [-2.50785007e+01 -1.55017087e-02]
 [-2.47808323e+01 -1.78511962e-02]
 [-2.44833832e+01 -1.99405085e-02]
 [-2.41862125e+01 -2.17546243e-02]
 [-2.38893661e+01 -2.32833941e-02]
 [-2.35928364e+01 -2.45361999e-02]
 [-2.32965927e+01 -2.55272929e-02]
 [-2.30006104e+01 -2.62709334e-02]
 [-2.27048645e+01 -2.67813765e-02]
 [-2.24093285e+01 -2.70728767e-02]
 [-2.21139755e+01 -2.71596946e-02]
 [-2.18187790e+01 -2.70560831e-02]
 [-2.15237122e+01 -2.67762989e-02]
 [-2.12287521e+01 -2.63345987e-02]
 [-2.09338684e+01 -2.57452410e-02]
 [-2.06390381e+01 -2.50224788e-02]
 [-2.03442326e+01 -2.41805725e-02]
 [-2.00494289e+01 -2.32337732e-02]
 [-1.97545967e+01 -2.21963432e-02]
 [-1.94597130e+01 -2.10825335e-02]
 [-1.91647511e+01 -1.99066028e-02]
 [-1.88696823e+01 -1.86828095e-02]
 [-1.85744839e+01 -1.74254067e-02]
 [-1.82791271e+01 -1.61486510e-02]
 [-1.79835892e+01 -1.48668019e-02]
 [-1.76878395e+01 -1.35941133e-02]
 [-1.73918533e+01 -1.23448418e-02]
 [-1.70956059e+01 -1.11332443e-02]
 [-1.67990704e+01 -9.97357629e-03]
 [-1.65022202e+01 -8.88009463e-03]
 [-1.62050285e+01 -7.86705688e-03]
 [-1.59074717e+01 -6.94871740e-03]
 [-1.56095209e+01 -6.13933429e-03]
 [-1.53111506e+01 -5.45316283e-03]
 [-1.50123348e+01 -4.90445970e-03]
 [-1.47130480e+01 -4.50748159e-03]
 [-1.44132690e+01 -4.27255966e-03]
 [-1.41130028e+01 -4.19432670e-03]
 [-1.38122616e+01 -4.26349044e-03]
 [-1.35110550e+01 -4.47075814e-03]
 [-1.32093945e+01 -4.80683753e-03]
 [-1.29072905e+01 -5.26243635e-03]
 [-1.26047544e+01 -5.82826277e-03]
 [-1.23017969e+01 -6.49502361e-03]
 [-1.19984293e+01 -7.25342659e-03]
 [-1.16946630e+01 -8.09418038e-03]
 [-1.13905077e+01 -9.00799129e-03]
 [-1.10859747e+01 -9.98556800e-03]
 [-1.07810755e+01 -1.10176178e-02]
 [-1.04758215e+01 -1.20948488e-02]
 [-1.01702223e+01 -1.32079674e-02]
 [-9.86428928e+00 -1.43476827e-02]
 [-9.55803299e+00 -1.55047011e-02]
 [-9.25146580e+00 -1.66697316e-02]
 [-8.94459820e+00 -1.78334806e-02]
 [-8.63743973e+00 -1.89866554e-02]
 [-8.33000278e+00 -2.01199669e-02]
 [-8.02229786e+00 -2.12241188e-02]
 [-7.71433544e+00 -2.22898200e-02]
 [-7.40612745e+00 -2.33077798e-02]
 [-7.09768438e+00 -2.42687035e-02]
 [-6.78901672e+00 -2.51633022e-02]
 [-6.48013592e+00 -2.59822793e-02]
 [-6.17105293e+00 -2.67163441e-02]
 [-5.86177826e+00 -2.73562055e-02]
 [-5.55232334e+00 -2.78925691e-02]
 [-5.24269915e+00 -2.83161439e-02]
 [-4.93291616e+00 -2.86176391e-02]
 [-4.62298584e+00 -2.87903491e-02]
 [-4.31292057e+00 -2.88379379e-02]
 [-4.00273275e+00 -2.87666544e-02]
 [-3.69243550e+00 -2.85827518e-02]
 [-3.38204050e+00 -2.82924809e-02]
 [-3.07156086e+00 -2.79020909e-02]
 [-2.76100922e+00 -2.74178367e-02]
 [-2.45039773e+00 -2.68459655e-02]
 [-2.13973951e+00 -2.61927303e-02]
 [-1.82904661e+00 -2.54643839e-02]
 [-1.51833189e+00 -2.46671755e-02]
 [-1.20760798e+00 -2.38073580e-02]
 [-8.96887243e-01 -2.28911806e-02]
 [-5.86182415e-01 -2.19248943e-02]
 [-2.75505990e-01 -2.09147539e-02]
 [ 3.51294503e-02 -1.98670067e-02]
 [ 3.45711321e-01 -1.87879056e-02]
 [ 6.56227052e-01 -1.76837035e-02]
 [ 9.66664076e-01 -1.65606476e-02]
 [ 1.27700984e+00 -1.54249929e-02]
 [ 1.58725166e+00 -1.42829893e-02]
 [ 1.89737713e+00 -1.31408870e-02]
 [ 2.20737362e+00 -1.20049389e-02]
 [ 2.51722860e+00 -1.08813951e-02]
 [ 2.82692933e+00 -9.77650750e-03]
 [ 3.13646340e+00 -8.69652629e-03]
 [ 3.44581795e+00 -7.64770433e-03]
 [ 3.75498080e+00 -6.63629174e-03]
 [ 4.06393957e+00 -5.66854002e-03]
 [ 4.37268066e+00 -4.75070020e-03]
 [ 4.68119287e+00 -3.88902402e-03]
 [ 4.98946238e+00 -3.08976229e-03]
 [ 5.29747820e+00 -2.35769199e-03]
 [ 5.60523129e+00 -1.69169286e-03]
 [ 5.91271353e+00 -1.08917023e-03]
 [ 6.21991730e+00 -5.47529431e-04]
 [ 6.52683496e+00 -6.41757943e-05]
 [ 6.83345747e+00  3.63485335e-04]
 [ 7.13977814e+00  7.38048577e-04]
